texto,tipo
¿Dónde puedo registrar una solicitud de servicios?,PQR
El servicio de recolección de basura es deficiente,queja
Excelente trabajo con la pavimentación,felicitación
Los semáforos no funcionan desde hace días,queja
El servicio de recolección de basura es deficiente,queja
Gracias por el nuevo parque infantil,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
Solicito información sobre los cortes de agua,PQR
Buen servicio en la oficina virtual,felicitación
Los semáforos no funcionan desde hace días,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Los semáforos no funcionan desde hace días,queja
Muy buena atención telefónica,felicitación
Demasiado ruido en el parque por las noches,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Demasiado ruido en el parque por las noches,queja
Demasiado ruido en el parque por las noches,queja
El servicio de recolección de basura es deficiente,queja
Felicitaciones al equipo de aseo urbano,felicitación
Demasiado ruido en el parque por las noches,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Solicito información sobre los cortes de agua,PQR
Gracias por el nuevo parque infantil,felicitación
Gracias por el nuevo parque infantil,felicitación
Quisiera saber el estado de mi solicitud,PQR
Solicito información sobre los cortes de agua,PQR
Demasiado ruido en el parque por las noches,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Felicitaciones al equipo de aseo urbano,felicitación
Gracias por el nuevo parque infantil,felicitación
Necesito respuesta a mi derecho de petición,PQR
Mala atención al cliente en la sede norte,queja
Solicito información sobre los cortes de agua,PQR
Solicito información sobre los cortes de agua,PQR
Excelente trabajo con la pavimentación,felicitación
Hueco en la vía principal sin señalización,queja
Buen servicio en la oficina virtual,felicitación
Mala atención al cliente en la sede norte,queja
El servicio de recolección de basura es deficiente,queja
Necesito respuesta a mi derecho de petición,PQR
Mala atención al cliente en la sede norte,queja
Demasiado ruido en el parque por las noches,queja
Quisiera saber el estado de mi solicitud,PQR
Los semáforos no funcionan desde hace días,queja
Muy buena atención telefónica,felicitación
Gracias por el nuevo parque infantil,felicitación
Demasiado ruido en el parque por las noches,queja
Buen servicio en la oficina virtual,felicitación
El servicio de recolección de basura es deficiente,queja
Quisiera saber el estado de mi solicitud,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
Demasiado ruido en el parque por las noches,queja
Muy buena atención telefónica,felicitación
Felicitaciones al equipo de aseo urbano,felicitación
El servicio de recolección de basura es deficiente,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
Quisiera saber el estado de mi solicitud,PQR
Demasiado ruido en el parque por las noches,queja
Demasiado ruido en el parque por las noches,queja
El servicio de recolección de basura es deficiente,queja
El servicio de recolección de basura es deficiente,queja
Los semáforos no funcionan desde hace días,queja
Buen servicio en la oficina virtual,felicitación
Petición para mejorar el alumbrado público,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
El servicio de recolección de basura es deficiente,queja
Solicito información sobre los cortes de agua,PQR
Buen servicio en la oficina virtual,felicitación
Quisiera saber el estado de mi solicitud,PQR
Muy buena atención telefónica,felicitación
Necesito respuesta a mi derecho de petición,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
Petición para mejorar el alumbrado público,PQR
Necesito respuesta a mi derecho de petición,PQR
Felicitaciones al equipo de aseo urbano,felicitación
Quisiera saber el estado de mi solicitud,PQR
Petición para mejorar el alumbrado público,PQR
Quisiera saber el estado de mi solicitud,PQR
El servicio de recolección de basura es deficiente,queja
Buen servicio en la oficina virtual,felicitación
Demasiado ruido en el parque por las noches,queja
Gracias por el nuevo parque infantil,felicitación
Felicitaciones al equipo de aseo urbano,felicitación
Los semáforos no funcionan desde hace días,queja
Felicitaciones al equipo de aseo urbano,felicitación
Solicito información sobre los cortes de agua,PQR
Hueco en la vía principal sin señalización,queja
Los semáforos no funcionan desde hace días,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Mala atención al cliente en la sede norte,queja
Muy buena atención telefónica,felicitación
Buen servicio en la oficina virtual,felicitación
Quisiera saber el estado de mi solicitud,PQR
Muy buena atención telefónica,felicitación
El servicio de recolección de basura es deficiente,queja
Hueco en la vía principal sin señalización,queja
Los semáforos no funcionan desde hace días,queja
Necesito respuesta a mi derecho de petición,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
Necesito respuesta a mi derecho de petición,PQR
Mala atención al cliente en la sede norte,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
El servicio de recolección de basura es deficiente,queja
Hueco en la vía principal sin señalización,queja
Felicitaciones al equipo de aseo urbano,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
Quisiera saber el estado de mi solicitud,PQR
El servicio de recolección de basura es deficiente,queja
Demasiado ruido en el parque por las noches,queja
El servicio de recolección de basura es deficiente,queja
Excelente trabajo con la pavimentación,felicitación
El servicio de recolección de basura es deficiente,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Quisiera saber el estado de mi solicitud,PQR
Hueco en la vía principal sin señalización,queja
Gracias por el nuevo parque infantil,felicitación
Demasiado ruido en el parque por las noches,queja
Excelente trabajo con la pavimentación,felicitación
Felicitaciones al equipo de aseo urbano,felicitación
Buen servicio en la oficina virtual,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
El servicio de recolección de basura es deficiente,queja
Gracias por el nuevo parque infantil,felicitación
Muy buena atención telefónica,felicitación
Necesito respuesta a mi derecho de petición,PQR
Buen servicio en la oficina virtual,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
Hueco en la vía principal sin señalización,queja
Felicitaciones al equipo de aseo urbano,felicitación
Muy buena atención telefónica,felicitación
Petición para mejorar el alumbrado público,PQR
Solicito información sobre los cortes de agua,PQR
Quisiera saber el estado de mi solicitud,PQR
Demasiado ruido en el parque por las noches,queja
Muy buena atención telefónica,felicitación
El servicio de recolección de basura es deficiente,queja
El servicio de recolección de basura es deficiente,queja
Necesito respuesta a mi derecho de petición,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
¿Dónde puedo registrar una solicitud de servicios?,PQR
Necesito respuesta a mi derecho de petición,PQR
Quisiera saber el estado de mi solicitud,PQR
Gracias por el nuevo parque infantil,felicitación
Quisiera saber el estado de mi solicitud,PQR
Solicito información sobre los cortes de agua,PQR
Felicitaciones al equipo de aseo urbano,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
Petición para mejorar el alumbrado público,PQR
Muy buena atención telefónica,felicitación
El servicio de recolección de basura es deficiente,queja
Excelente trabajo con la pavimentación,felicitación
El servicio de recolección de basura es deficiente,queja
¿Dónde puedo registrar una solicitud de servicios?,PQR
Petición para mejorar el alumbrado público,PQR
Buen servicio en la oficina virtual,felicitación
Demasiado ruido en el parque por las noches,queja
Gracias por el nuevo parque infantil,felicitación
Solicito información sobre los cortes de agua,PQR
Demasiado ruido en el parque por las noches,queja
Solicito información sobre los cortes de agua,PQR
Necesito respuesta a mi derecho de petición,PQR
Buen servicio en la oficina virtual,felicitación
El servicio de recolección de basura es deficiente,queja
Los semáforos no funcionan desde hace días,queja
Muy buena atención telefónica,felicitación
Hueco en la vía principal sin señalización,queja
Demasiado ruido en el parque por las noches,queja
El servicio de recolección de basura es deficiente,queja
El servicio de recolección de basura es deficiente,queja
Gracias por el nuevo parque infantil,felicitación
Solicito información sobre los cortes de agua,PQR
Hueco en la vía principal sin señalización,queja
Petición para mejorar el alumbrado público,PQR
Hueco en la vía principal sin señalización,queja
Muy buena atención telefónica,felicitación
Gracias por el nuevo parque infantil,felicitación
Los semáforos no funcionan desde hace días,queja
Muy buena atención telefónica,felicitación
Demasiado ruido en el parque por las noches,queja
Necesito respuesta a mi derecho de petición,PQR
Mala atención al cliente en la sede norte,queja
Necesito respuesta a mi derecho de petición,PQR
Felicitaciones al equipo de aseo urbano,felicitación
¿Dónde puedo registrar una solicitud de servicios?,PQR
Quisiera saber el estado de mi solicitud,PQR
Buen servicio en la oficina virtual,felicitación
Felicitaciones al equipo de aseo urbano,felicitación
Petición para mejorar el alumbrado público,PQR
Gracias por el nuevo parque infantil,felicitación
El servicio de recolección de basura es deficiente,queja
Quisiera saber el estado de mi solicitud,PQR
Gracias por el nuevo parque infantil,felicitación
Petición para mejorar el alumbrado público,PQR
Hueco en la vía principal sin señalización,queja
Hueco en la vía principal sin señalización,queja
Gracias por el nuevo parque infantil,felicitación
El servicio de recolección de basura es deficiente,queja
El servicio de recolección de basura es deficiente,queja
Felicitaciones al equipo de aseo urbano,felicitación
